timestamp,model,prompt_set,concept_term,B1_official_name,B2_kind,B3_category_type,B4_immediate_broader,B5_grandparents,B6_immediate_narrower,B7_peer_terms
2026-03-05T15:43:14.188914,claude-sonnet-4-5-20250929,set2,Acute myocardial infarction,Acute myocardial infarction,Clinical finding / Disease,Fully defined,Myocardial infarction|Acute coronary syndrome,Ischemic heart disease|Heart disease|Cardiovascular disease,Acute ST segment elevation myocardial infarction (STEMI)|Acute non-ST segment elevation myocardial infarction (NSTEMI)|Acute anterior myocardial infarction|Acute inferior myocardial infarction|Acute lateral myocardial infarction|Acute posterior myocardial infarction,Unstable angina|Old myocardial infarction|Subacute myocardial infarction
2026-03-05T15:43:17.322155,claude-sonnet-4-5-20250929,set2,Atrial fibrillation,Atrial fibrillation,Cardiac arrhythmia / Disease,Fully defined,Supraventricular arrhythmia|Atrial arrhythmia,Cardiac arrhythmia|Heart disease,Paroxysmal atrial fibrillation|Persistent atrial fibrillation|Permanent atrial fibrillation,Atrial flutter|Atrial tachycardia|Supraventricular tachycardia
2026-03-05T15:43:20.327300,claude-sonnet-4-5-20250929,set2,"Hypertensive disorder, systemic arterial",Systemic arterial hypertensive disorder,Disease / Disorder,Fully defined,Hypertensive disorder|Disorder of systemic arterial system,Cardiovascular disorder|Disorder of cardiovascular system,Essential hypertension|Secondary hypertension|Malignant hypertension|Hypertensive emergency|Hypertensive urgency,Pulmonary hypertensive disorder|Portal hypertension|Intracranial hypertension
2026-03-05T15:43:24.005285,claude-sonnet-4-5-20250929,set2,Atherosclerosis,Atherosclerosis,Disease / Pathological condition,Fully defined,Arteriosclerosis|Arterial disease,Vascular disease|Cardiovascular disease,Coronary atherosclerosis|Cerebral atherosclerosis|Peripheral atherosclerosis|Aortic atherosclerosis,Arteriolosclerosis|Mönckeberg sclerosis (medial calcific sclerosis)
2026-03-05T15:43:28.274098,claude-sonnet-4-5-20250929,set2,Embolus,Embolus,Pathological structural abnormality / Material in the bloodstream,Fully defined,Intravascular material|Abnormal mass in circulation,Pathological structure|Morphologically abnormal structure,Thromboembolus|Fat embolus|Air embolus|Septic embolus|Tumor embolus|Amniotic fluid embolus,Thrombus|Atheroma|Vegetation
2026-03-05T15:43:32.557776,claude-sonnet-4-5-20250929,set2,Ventricular tachycardia,Ventricular tachycardia,Clinical finding / Cardiac arrhythmia,Fully defined,Tachycardia|Ventricular arrhythmia,Cardiac arrhythmia|Disorder of cardiovascular system,Sustained ventricular tachycardia|Non-sustained ventricular tachycardia|Monomorphic ventricular tachycardia|Polymorphic ventricular tachycardia|Torsades de pointes,Ventricular fibrillation|Ventricular flutter|Accelerated idioventricular rhythm|Supraventricular tachycardia|Atrial tachycardia
2026-03-05T15:43:37.078113,claude-sonnet-4-5-20250929,set2,Apnea,Apnea,Clinical finding / Sign,Fully defined,Abnormal respiration|Respiratory abnormality,Respiratory system finding|Clinical finding,Sleep apnea|Obstructive sleep apnea|Central sleep apnea|Apnea of prematurity|Mixed apnea,Dyspnea|Tachypnea|Bradypnea|Hyperpnea|Orthopnea
2026-03-05T15:43:40.666927,claude-sonnet-4-5-20250929,set2,Cyanosis,Cyanosis,Clinical finding / Sign,Fully defined,Abnormal skin color|Discoloration of skin and/or mucous membranes,Skin finding|Clinical finding,Central cyanosis|Peripheral cyanosis|Acrocyanosis|Circumoral cyanosis,Pallor|Jaundice|Erythema|Flushing
2026-03-05T15:43:44.326968,claude-sonnet-4-5-20250929,set2,Bronchitis,,,,,,,
2026-03-05T15:43:47.769173,claude-sonnet-4-5-20250929,set2,Hyperglycemia,Hyperglycemia,Finding / Clinical finding,Fully defined,Abnormal blood glucose level|Disorder of glucose metabolism,Metabolic disorder|Clinical finding,Diabetic hyperglycemia|Postprandial hyperglycemia|Fasting hyperglycemia|Drug-induced hyperglycemia,Hypoglycemia|Normoglycemia|Dysglycemia
2026-03-05T15:43:52.170663,claude-sonnet-4-5-20250929,set2,Blood in urine,Hematuria,Clinical finding / Sign,Primitive,Abnormal urine|Hemorrhage|Urinary system finding,Abnormal body fluid|Pathologic process|Clinical finding,Microscopic hematuria|Macroscopic hematuria|Gross hematuria|Painless hematuria|Painful hematuria,Proteinuria|Pyuria|Glycosuria|Hemoglobinuria|Bilirubinuria
2026-03-05T15:43:56.243902,claude-sonnet-4-5-20250929,set2,Oliguria,,,,,,,
2026-03-05T15:44:00.033874,claude-sonnet-4-5-20250929,set2,Polyuria,Polyuria,Clinical finding / Symptom,Fully defined,Abnormal urine output|Disorder of urinary volume,Disorder of urinary system|Urinary tract finding,Nocturnal polyuria|Osmotic polyuria|Water diuresis,Oliguria|Anuria|Nocturia|Dysuria|Urinary frequency
2026-03-05T15:44:03.394365,claude-sonnet-4-5-20250929,set2,Necrosis,Necrosis,Pathologic process / morphologic abnormality,Fully defined,Cell death|Tissue injury,Pathologic process|Biological process,Coagulative necrosis|Liquefactive necrosis|Caseous necrosis|Fat necrosis|Gangrenous necrosis|Fibrinoid necrosis,Apoptosis|Autophagy|Necroptosis
2026-03-05T15:44:07.368436,claude-sonnet-4-5-20250929,set2,Ischemia,Ischemia,Pathological process / Disease or syndrome,Fully defined,Circulatory disturbance|Vascular insufficiency,Cardiovascular pathology|Pathologic function,Myocardial ischemia|Cerebral ischemia|Limb ischemia|Intestinal ischemia|Renal ischemia,Hyperemia|Congestion|Hemorrhage|Thrombosis|Embolism
