timestamp,model,prompt_set,concept_term,B1_official_name,B2_kind,B3_category_type,B4_immediate_broader,B5_grandparents,B6_immediate_narrower,B7_peer_terms
2026-03-05T11:02:12.024367,deepseek-chat,set2,Acute myocardial infarction,Myocardial Infarction,Disease or Syndrome,Primitive,Myocardial Ischemia|Heart Disease,Cardiovascular Diseases,ST Elevation Myocardial Infarction|Non-ST Elevation Myocardial Infarction,Angina Pectoris|Myocardial Stunning|Hibernating Myocardium
2026-03-05T11:02:19.733820,deepseek-chat,set2,Atrial fibrillation,Atrial Fibrillation,Disease or Syndrome,Primitive,Cardiac Arrhythmia|Atrial Fibrillation and Flutter,Heart Disease|Cardiovascular Diseases,Paroxysmal Atrial Fibrillation|Persistent Atrial Fibrillation|Longstanding Persistent Atrial Fibrillation|Permanent Atrial Fibrillation|Valvular Atrial Fibrillation|Nonvalvular Atrial Fibrillation,Atrial Flutter|Ventricular Fibrillation|Atrial Tachycardia|Sick Sinus Syndrome|Supraventricular Tachycardia
2026-03-05T11:02:24.707851,deepseek-chat,set2,"Hypertensive disorder, systemic arterial",Systemic arterial hypertension,Disorder,Primitive,Arterial hypertension,Cardiovascular system disorder|Hypertension,Essential hypertension|Secondary hypertension|Hypertensive crisis,Pulmonary hypertension|Portal hypertension
2026-03-05T11:02:30.953046,deepseek-chat,set2,Atherosclerosis,Atherosclerosis,Disease or Syndrome,Primitive,Arteriosclerosis,Cardiovascular Diseases|Vascular Diseases,Coronary Artery Atherosclerosis|Carotid Artery Atherosclerosis|Aortic Atherosclerosis|Cerebral Atherosclerosis|Peripheral Arterial Atherosclerosis,Arteriolosclerosis|Monckeberg Medial Calcific Sclerosis
2026-03-05T11:02:36.383367,deepseek-chat,set2,Embolus,Embolus,Pathological Structure,Primitive,Embolic Material,Pathological Entity,Thromboembolus|Air Embolus|Fat Embolus|Septic Embolus|Tumor Embolus|Amniotic Fluid Embolus,Thrombus
2026-03-05T11:02:42.814056,deepseek-chat,set2,Ventricular tachycardia,Ventricular Tachycardia,Disease or Syndrome,Primitive,Tachycardia|Ventricular Arrhythmia,Cardiac Arrhythmia|Heart Disease,Monomorphic Ventricular Tachycardia|Polymorphic Ventricular Tachycardia|Torsades de Pointes,Atrial Tachycardia|Atrial Flutter|Supraventricular Tachycardia|Sinus Tachycardia
2026-03-05T11:02:48.603363,deepseek-chat,set2,Apnea,Apnea,Disease or Syndrome,Primitive,Respiratory Signs and Symptoms|Sleep Disorder,Signs and Symptoms|Diseases and Disorders,Sleep Apnea Syndromes|Central Sleep Apnea|Obstructive Sleep Apnea,Bradypnea|Dyspnea|Hyperpnea|Tachypnea
2026-03-05T11:02:53.605132,deepseek-chat,set2,Cyanosis,Cyanosis,Clinical Finding,Primitive,Sign or Symptom,Clinical History and Examination Findings,Central Cyanosis|Peripheral Cyanosis,Pallor|Jaundice|Erythema|Hyperpigmentation|Hypopigmentation
2026-03-05T11:02:59.512017,deepseek-chat,set2,Bronchitis,Bronchitis,Disease or Disorder,Primitive,Bronchial Disease|Lower Respiratory Tract Infection,Respiratory Tract Infections|Lung Diseases,Acute Bronchitis|Chronic Bronchitis|Plastic Bronchitis,Pneumonia|Tracheitis|Bronchiectasis|Asthma
2026-03-05T11:03:05.324174,deepseek-chat,set2,Hyperglycemia,Hyperglycemia,Disease or Syndrome,Primitive,Glucose metabolism disease,Metabolic disease|Endocrine system disease,Diabetic Ketoacidosis|Hyperosmolar Hyperglycemic Nonketotic Syndrome|Postprandial hyperglycemia|Fasting hyperglycemia,Hypoglycemia|Dysglycemia|Normoglycemia
2026-03-05T11:03:10.997164,deepseek-chat,set2,Blood in urine,Hematuria,Sign or Symptom,Primitive,Urinary tract signs and symptoms|Urological signs and symptoms,Signs and Symptoms,Gross hematuria|Microscopic hematuria,Proteinuria|Dysuria|Urinary urgency|Urinary frequency|Nocturia
2026-03-05T11:03:15.870733,deepseek-chat,set2,Oliguria,Oliguria,Clinical Finding,Primitive,Urine output finding,Urination finding|Clinical history and examination findings,Anuria,Polyuria|Nocturia|Pollakiuria|Urinary retention
