timestamp,concept_term,snomed_id,fsn,semantic_tag,definition_status,parents,grandparents,children,siblings
2026-02-12T18:51:22.400684,Acute myocardial infarction,57054005,Acute myocardial infarction (disorder),disorder,Fully defined,Myocardial infarction|Acute ischemic heart disease,Acute heart disease|Ischemic heart disease|Myocardial necrosis,Acute Q wave myocardial infarction|Acute myocardial infarction of atrium|Acute myocardial infarction of lateral wall|Acute ST segment elevation myocardial infarction|Acute myocardial infarction of posterolateral wall|Acute myocardial infarction of apical-lateral wall|Acute myocardial infarction of inferior wall|Acute widespread myocardial infarction|Acute myocardial infarction of right ventricle|Acute subendocardial infarction|Acute myocardial infarction of anterior wall|Acute myocardial infarction of inferoposterior wall|Acute non-ST segment elevation myocardial infarction|Acute myocardial infarction during procedure|Acute non-Q wave infarction|Acute myocardial infarction due to left coronary artery occlusion|Acute myocardial infarction due to right coronary artery occlusion|Acute posterior myocardial infarction|Postoperative acute myocardial infarction,Postoperative myocardial infarction|Myocardial infarction in recovery phase|Mixed myocardial ischemia and infarction|Old myocardial infarction|Myocardial infarction with non-obstructive coronary artery|Myocardial infarction due to demand ischemia|Impending infarction|Myocardial infarction due to atherothrombotic coronary artery disease|Subendocardial myocardial infarction|Acute infarction of papillary muscle|Silent myocardial infarction|First myocardial infarction|Acute coronary syndrome|Microinfarct of heart|True posterior myocardial infarction|Non-Q wave myocardial infarction|Acute myocardial ischemia|Subsequent myocardial infarction
2026-02-12T18:51:31.882882,Atrial fibrillation,49436004,Atrial fibrillation (disorder),disorder,Fully defined,Fibrillation|Supraventricular tachycardia|Atrial arrhythmia,Tachyarrhythmia|Supraventricular arrhythmia|Cardiac arrhythmia|Atrial cardiopathy,Chronic atrial fibrillation|Rapid atrial fibrillation|Permanent atrial fibrillation|Atrial fibrillation with rapid ventricular response|Atrial fibrillation due to heart valve disorder|Non-rheumatic atrial fibrillation|Paroxysmal atrial fibrillation|Preexcited atrial fibrillation|Familial atrial fibrillation|Persistent atrial fibrillation|Controlled atrial fibrillation|Lone atrial fibrillation,Junctional premature beats|Re-entrant atrial tachycardia|Supraventricular tachycardia with functional bundle branch block|Fetal supraventricular tachycardia with short ventriculoatrial interval|Supraventricular tachycardia following acute myocardial infarction|Inappropriate sinus tachycardia|Paroxysmal supraventricular tachycardia|Sinoatrial node tachycardia|Atrial tachycardia|Ventricular fibrillation|Fetal supraventricular tachycardia with long ventriculoatrial interval|Sinus bradycardia|Sinus node dysfunction
2026-02-12T18:51:39.650926,"Hypertensive disorder, systemic arterial",38341003,"Hypertensive disorder, systemic arterial (disorder)",disorder,Primitive,Cardiovascular measurement - finding|Disorder of cardiovascular system,Disorder of body system|Cardiovascular finding,"Hypertensive crisis|Benign hypertension|Paroxysmal hypertension|Hypertension complicating pregnancy, childbirth and the puerperium|Postoperative hypertension|Intermittent hypertension|Essential hypertension|Diastolic hypertension|Eclampsia added to pre-existing hypertension|Multiple drug intolerant hypertension|Neonatal hypertension|Hypertension with albuminuria|Hypertension concurrent and due to end stage renal disease on dialysis|Supine hypertension|Secondary hypertension|Coronary sinus hypertension as complication of procedure|Hypertension in chronic kidney disease due to type 2 diabetes mellitus|Resistant hypertensive disorder|Exertional hypertension|Perioperative hypertension|Brachydactyly and arterial hypertension syndrome|Systolic hypertension|Hypertension in the obstetric context|Hypertension in chronic kidney disease due to type 1 diabetes mellitus|Rebound hypertension|Maternal hypertension|Hypertension due to congenital adrenal hyperplasia",Malignant atrophic papulosis|Cerebrovascular disease|Cardiovascular morbidity|Cardiovascular system hereditary disorder|Congenital cardiovascular disorder|Cardiovascular injury|Alteration in tissue perfusion|Spontaneous closure of surgically created fenestration of atrial tunnel after prior atrial fenestration operation|Blood pressure finding|Acute disease of cardiovascular system|Finding of heart rate|Cardiovascular system complication of procedure|Low blood pressure|Ductus arteriosus dependent systemic circulation|Cardiovascular abnormality due to bilateral arterial ducts|Cardiovascular abnormality due to patent arterial duct|Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy|Thrombosis|Venous insufficiency of leg|Disease of circulatory system complicating pregnancy childbirth and puerperium|Cardiovascular abnormality due to anomalous origin of arterial duct|Pseudoaneurysm|Cardiovascular abnormality due to infective myocarditis|Disorder of pericardium|Abscess of cardiovascular heterograft|Perinatal cardiovascular disorders|Neoaortic valve regurgitation|Partial obstruction of cardiac conduit|Disease affecting entire cardiovascular system|Cardiovascular abnormality due to anomalous origin of coronary artery from pulmonary artery|Abscess of cardiovascular structure of trunk|Poor peripheral circulation|Complete obstruction of cardiac conduit|Failure of cardiac conduit following construction of cardiac conduit|Finding of pulse rate|Obstruction of right atrial conduit after prior total cavopulmonary connection procedure|Foreign body of cardiovascular structure|Normal tissue perfusion|Cardiovascular abnormality due to anomalous origin of coronary artery orifice|Infectious disease of cardiovascular system|Peripheral vascular complications of care|Heart disease|Fetal cardiovascular disorder|Chronic disease of cardiovascular system|Abscess of vascular cardiac conduit|CREST syndrome|CRST syndrome|Coronary slow flow phenomenon|Inflammatory disorder of the cardiovascular system|Neonatal cardiovascular disorder|Abscess of cardiovascular homograft|Vascular measurements - finding|Left ventricular pressure during mid-diastole below reference range|Cardiovascular sequelae of disorders|Aneurysm|Cardiovascular fistula due to endocarditis|Neoplasm of cardiovascular system|Obstruction of right atrial tunnel after prior total cavopulmonary connection procedure|Peripheral vascular disease|Parasympathetic cardiovascular function disorder|Cardiac pacemaker syndrome|Restenosis of peripheral vascular stent|Acquired abnormality of neoaortic valve following biventricular repair of common arterial trunk|Vascular disorder|Near syncope|Peripheral vascular complication
2026-02-12T18:51:45.651762,Atherosclerosis,38716007,Atherosclerosis (morphologic abnormality),morphologic abnormality,Primitive,Arteriosclerosis,Vascular sclerosis,,
2026-02-12T18:51:51.923668,Embolus,55584005,Embolus (morphologic abnormality),morphologic abnormality,Primitive,Mechanical lesion,Lesion|Mechanical abnormality,Thromboembolus|Fat embolus|Amniotic fluid embolus|Soap embolus|Air embolus|Bone marrow embolus|Paradoxical embolism|Multiple emboli|Foreign body embolus|Tissue embolus|Atheromatous embolus|Bland embolus|Recent embolus|Oil embolus|Microembolus|Saddle embolus|Occlusive embolus|Diatom embolus|Massive embolus|Septic embolus|Parasitic embolus|Valvular tissue embolus|Bone fragment embolus,Wound hemorrhage|Canalization|Bulging|Cavity|Intramural hemorrhage|Calculus|Cyst|Fenestration|Ankylosis|Sinus|Ecchymosis|Hematoma|Disruption|Acquired absence|Diverticulum|Submucosal hemorrhage|Pseudoaneurysm|Sequestrum|Telangiectasis|Collapse|Compression|Narrowed structure|Loose body|Entrapment|Perforation|Induration|Petechia|Subcapsular hemorrhage|Splinter hemorrhage|Fistula|Fissure|Invagination|Ulcer|Failure of fusion|Acquired web|Separation|Fragmentation|Impatent structure|False passage|Aneurysm|Sequestration|Hemorrhagic atheromatous plaque|Fibrin strand|Disintegration|Valvular insufficiency|Dissecting hemorrhage|Accumulation of fluid|Blood clot|Fracture|Hematocele|Purpura
2026-02-12T18:51:59.667627,Ventricular tachycardia,25569003,Ventricular tachycardia (disorder),disorder,Fully defined,Heart disease|Tachycardia,Disorder of mediastinum|Cardiac finding|Finding of heart rate|Disorder of cardiovascular system,"Mitral annular ventricular tachycardia|Left outflow tract ventricular tachycardia|Ventricular tachyarrhythmia|Familial ventricular tachycardia|Idiopathic ventricular tachycardia|Incessant infant ventricular tachycardia|Induced ventricular tachycardia|Paroxysmal ventricular tachycardia|Recurrent ventricular tachycardia|His bundle tachycardia|Sustained ventricular tachycardia|Fascicular ventricular tachycardia|Ventricular tachycardia, monomorphic|Right ventricular outflow tract ventricular tachycardia|Preexcited atrial fibrillation|Mahaim fiber tachycardia|Nonsustained ventricular tachycardia|Wide QRS ventricular tachycardia|Ventricular flutter|Bidirectional ventricular tachycardia|Ventricular tachycardia with normal heart|Pulseless ventricular tachycardia|Narrow QRS ventricular tachycardia|Ventricular tachycardia, polymorphic","Chronic heart disease|Structural disorder of heart|Cardiac complication of anesthesia during the puerperium|Outflow tract abnormality in solitary indeterminate ventricle|Disorder of endocardium|Tachyarrhythmia|Injury of heart|Cardiac disease in pregnancy|Infectious disease of heart|Cardiac complication of procedure|Acute heart disease|Athlete's heart|Disorder of cardiac ventricle|Baseline tachycardia|Pacemaker mediated tachycardia|Atrial cardiopathy|Postoperative cardiac complication|Cardiac arrhythmia|Cardiac glycogen phosphorylase kinase deficiency|Reflex tachycardia|Drug-induced bradycardia|Eye defects, arachnodactyly, cardiopathy syndrome|Sinus tachycardia|Heart disease co-occurrent with human immunodeficiency virus infection|Heart disease caused by ionizing radiation|Heart valve disorder|Postural orthostatic tachycardia syndrome|Myxedema heart disease|Healed bacterial endocarditis|Disorder of coronary artery|Myocardial disease|Disorder of cardiac function|Cardiac complication|Cardiac pacemaker re-entrant tachycardia|Papillary muscle disorder|Anomalous bands of heart|Fetal heart disorder|Sinistrocardia"
2026-02-12T18:52:05.538613,Apnea,1023001,Apnea (finding),finding,Fully defined,Respiratory rate AND/OR rhythm finding,Finding of respiration|Vital signs finding,Postanesthesia apnea|Drug-induced apnea|Infantile apnea|Terminal apnea|Vagal apnea|Apnea - anesthetic|Traumatic apnea|Induced apnea|Deglutition apnea|Recurrent apnea|Gastroesophageal reflux disease with apnea|Sleep apnea|Initial apnea|Apnea in newborn|Chemoreceptor apnea|Late apnea,Finding of rate of respiration|Hyperpnea|Normal respiratory rhythm
2026-02-12T18:52:13.189108,Cyanosis,3415004,Cyanosis (finding),finding,Fully defined,Abnormal color|Skin AND/OR mucosa finding,Color finding|Clinical finding,Cyanosis of skin and/or skin-associated mucous membrane|Central cyanosis|Stokvis' disease|Pulmonary cyanosis|Local cyanosis|Neonatal cyanosis|Peripheral cyanosis,Desert sore|Teeth staining caused by metal|Disorder of skin of vulva|Gastrointestinal tract mucosal discoloration|Infection of skin and mucous membrane caused by human papillomavirus|Skin or mucosa lesion|Urine color abnormal|Infection of skin and/or mucous membrane caused by Herpes virus|Pigmentation of skin or mucosa|Disseminated mucocutaneous leishmaniasis|Discoloration of spleen|Pruritic disorder|Orthokeratosis|Numbness of vulva|Cutaneous and mucocutaneous bartonellosis|Tobacco deposit on teeth|Teeth staining caused by drugs|Exogenous pigmentation of oral mucosa|Discoloration of skin|Intrinsic staining of tooth - drug-induced|Anal verge finding|Betel deposit on teeth|Saliva discoloration|Mucosal finding|Skin finding|Extrinsic staining of vital tooth|Tongue discoloration|Fixed drug reaction|Lichenoid chronic graft-versus-host disease|Contact hypersensitivity|Mucocutaneous candidiasis|Allergic contact sensitization of skin and skin-associated mucous membrane|Rosacea|Mucocutaneous infection caused by Leishmania|Vulva granulation|Intrinsic staining of tooth due to and following dental trauma|Acquired discoloration of enamel|Secondary syphilis of skin and mucous membrane|Hyperkeratosis of vulva|Abnormal foot color|Texture of skin or mucosa|Teeth staining due to pulpal bleeding|Stool color abnormal|Mucocutaneous paracoccidioidomycosis|Discoloration of liver|Posteruptive color change of tooth|Intrinsic staining of vital tooth|Sputum abnormal - color
2026-02-12T18:52:22.597493,Bronchitis,32398004,Bronchitis (disorder),disorder,Fully defined,Inflammatory disorder of lower respiratory tract|Disorder of bronchus|Inflammation of specific body organs,Bronchial finding|Inflammation of specific body structures or tissue|Tracheobronchial disorder|Lower respiratory tract finding|Inflammatory disorder of the respiratory tract|Disorder of thorax|Disorder of lower respiratory system,Catarrhal bronchitis|Asthmatic bronchitis|Plastic bronchitis|Chronic bronchitis|Bronchitis co-occurrent with wheeze|Bronchitis caused by vapors|Postoperative bronchitis|Septic bronchitis|Allergic bronchitis|Tuberculosis of bronchus|Acute bronchitis|Pneumococcal bronchitis|Inflammation of bronchus caused by Aspergillus|Bronchitis caused by chemical|Bronchopneumonia|Viral bronchitis|Subacute bronchitis|Purulent bronchitis|Tracheobronchitis,"Aspiration into main bronchus|Diffuse interstitial pulmonary fibrosis|Primary pneumonic plague|Infectious disorder of bronchus|Asthmatic pulmonary eosinophilia|Osteomyelitis of left humerus|Gastritis|Acute cervical lymphadenitis|Inflammatory disorder of visual cortex|Granuloma of cerebral hemispheric lobe|Bronchocele|Rhinitis|Laryngitis|Berylliosis|Apical periodontitis|Familial mesangial sclerosis|Cerebral pyogenic abscess|Infection causing granuloma of extradural space of spinal cord|Allergic bronchopulmonary mycosis|Cerebellar granuloma|Acute exacerbation of idiopathic pulmonary fibrosis|Diffuse interstitial rheumatoid disease of lung|Chronic pulmonary blastomycosis|Geniculate ganglionitis|Inflammatory disease of liver|Allergic bronchopulmonary aspergillosis|Acute pulmonary radiation disease|Bronchospasm caused by drug|Tracheitis|Lung injury with sepsis|Pneumonitis|Obstruction of bronchus|Salpingitis|Dacryocystitis|Granuloma of brain caused by Schistosoma mansoni|Bronchial hemorrhage|Pulpitis|Disorder of bronchial anastomosis|Autoimmune cerebellar inflammation|Pneumonia caused by Enterococcus|Myelitis|Pericarditis|Cystitis|Inflammation of adrenal gland|Empyema of pleura|Idiopathic pleuroparenchymal fibroelastosis|Encephalitis|Foreign body in bronchus|Maxillary herpes zoster infection|Arthritis|Otitis|Silo-fillers' disease|Injury of bronchus|Pulmonary fibrosis, hepatic hyperplasia, bone marrow hypoplasia syndrome|Periostitis|Bubonic plague|Familial idiopathic pulmonary fibrosis|Osteomyelitis of left pelvis|Oophoritis|Chronic toxic interstitial nephritis|Cholangitis|External inflammatory resorption|Cerebellar pyogenic abscess|Crohn disease of anal canal|Inflammatory disorder of the eye|Mucoid impaction of bronchi|Peritonitis|Pulmonary granuloma|Bronchocentric granulomatosis|Bronchiolitis|Parasitic infection causing granuloma of cerebrum|Sialoadenitis|Congenital anomaly of bronchus|Bronchiectasis|Tuberculosis of nose|Toxic inhalation injury|Vasculitis|Pulmonary melioidosis|Bronchomalacia|Ependymitis|Smokers' cough|Allergic bronchospasm caused by dietary substance|Pulmonary mucormycosis|Tropical pulmonary eosinophilia|Splenitis|Acute pulmonary African histoplasmosis|Pulmonary tuberculosis|Chronic inflammation of lacrimal passage|Radiculitis|Chronic pulmonary African histoplasmosis|Plasma cell granuloma of lung|Hypophysitis|Pancreatitis|Acute necrotizing encephalopathy of childhood|Multiple sclerosis of the brainstem|Pleurisy|Pulmonary endarteritis|Granuloma of brain caused by Schistosoma|Pneumonia caused by Serratia|Pneumoconiosis|Lesion of bronchus|Granuloma of brainstem|Meningitis|Pulmonary capillaritis|Foreign body granuloma of muscle|Exercise induced bronchospasm|Pharyngitis|Pulmonary arteritis|Chronic intervillositis of unknown etiology|Inflammatory dermatosis|Limbic encephalitis|Isolated tracheobronchial tuberculosis|Inflammatory disease of the uterus|Osteomyelitis of right pelvis|Tuberculosis of brain|Listeria cerebritis|Nephritis|Serositis|Granuloma of brain caused by Schistosoma haematobium|Apical granuloma|Ulceroglandular tularemia|Obstructing Aspergillus tracheobronchitis|Nasal vestibulitis|Gingivitis|Inflammation of lacrimal canaliculus|Fatal post-viral neurodegenerative disorder|Osteitis|Polyserositis|Myositis|Cerebral sarcoidosis|Malakoplakia of kidney"
2026-02-12T18:52:29.130656,Hyperglycemia,80394007,Hyperglycemia (disorder),disorder,Primitive,Disorder of glucose metabolism,Disorder of carbohydrate metabolism,Neonatal hyperglycemia|Hyperglycemia due to diabetes mellitus|Acute hyperglycemia|Non-diabetic hyperglycemia|Hyperglycemic disorder in pregnancy|Chronic hyperglycemia|Poor glycemic control|Dawn phenomenon|Drug-induced hyperglycemia|Metabolic stress hyperglycemia,Hypoglycemic syndrome|Diabetes mellitus
