concept_term,original_term,snomed_id,status
Acute myocardial infarction,Acute myocardial infarction,57054005,found
Atrial fibrillation,Atrial fibrillation,49436004,found
"Hypertensive disorder, systemic arterial","Hypertensive disorder, systemic arterial",38341003,found
Atherosclerosis,Atherosclerosis,38716007,found
Embolus,Embolus,55584005,found
Ventricular tachycardia,Ventricular tachycardia,25569003,found
Apnea,Apnea,1023001,found
Cyanosis,Cyanosis,3415004,found
Bronchitis,Bronchitis,32398004,found
Hyperglycemia,Hyperglycemia,80394007,found
Blood in urine,Blood in urine,34436003,found
Oliguria,Oliguria,83128009,found
Polyuria,Polyuria,28442001,found
Necrosis,Necrosis,6574001,found
Ischemia,Ischemia,52674009,found
Sepsis,Sepsis,91302008,found
Malignant,Malignant,21594007,found
Benign,Benign,30807003,found
Abscess,Abscess,128477000,found
Edema,Edema,267038008,found
Intubation,Intubation,52765003,found
Biopsy,Biopsy,86273004,found
Venipuncture,Venipuncture,22778000,found
Laparotomy,Laparotomy,86481000,found
Opening of chest,Opening of chest,177765008,found
Cholecystectomy,Cholecystectomy,38102005,found
Cardiopulmonary resuscitation,Cardiopulmonary resuscitation,89666000,found
Triage,Triage,225390008,found
Proximal,Proximal,40415009,found
Distal,Distal,46053002,found
Chronic,Chronic,90734009,found
Determination of prognosis,Determination of prognosis,20481000,found
Anaphylaxis,Anaphylaxis,39579001,found
Structure of ischiogluteal bursa of right hip,Structure of ischiogluteal bursa of right hip,722754002,found
Does not cut own nails,Does not cut own nails,284873008,found
Laceration of right brachial artery,Laceration of right brachial artery,11816061000119107,found
Date sample received in laboratory,Date sample received in laboratory,281271004,found
Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency,783199003,found
Product containing only ezetimibe and rosuvastatin,Product containing only ezetimibe and rosuvastatin,1297131003,partial_match
Alpha>1< anti-trypsin isotype MZ,Alpha>1< anti-trypsin isotype MZ,102790009,found
2-dehydro-3-deoxy-L-pentonate aldolase,2-dehydro-3-deoxy-L-pentonate aldolase,51364000,found
Thiourea,Thiourea,47826006,found
Protriptyline,Protriptyline,372760009,found
Use of sling suspension,Use of sling suspension,39317007,found
Insulin receptor defect,Insulin receptor defect,10680005,found
Akinesis of basal anterior segment of left cardiac ventricle,Akinesis of basal anterior segment of left cardiac ventricle,728705000,partial_match
Bioterrorist attack,Bioterrorist attack,409495001,found
Rickettsia australis,Rickettsia australis,53447008,found
Computed tomography 3 dimensional reconstruction,Computed tomography 3 dimensional reconstruction,22400007,found
Open reduction of fracture of tarsal bone without internal fixation,Open reduction of fracture of tarsal bone without internal fixation,699166007,found
Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015),Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015),104030003,found
Spirometra houghtonii,Spirometra houghtonii,112459002,found
Difficulty preparing feed,Difficulty preparing feed,286499006,found
Public school,Public school,224858000,found
Assistive electrical shaver adaptor,Assistive electrical shaver adaptor,465026001,found
Bathing of skin of free upper limb,Bathing of skin of free upper limb,1234843005,found
Primary hyperparathyroidism,Primary hyperparathyroidism,36348003,found
Ultrasonography of soft tissue of wrist region,Ultrasonography of soft tissue of wrist region,438491001,partial_match
Standing tolerance,Standing tolerance,311463005,found
Product containing precisely alverine citrate 120 milligram/1 each conventional release oral capsule,Product containing precisely alverine citrate 120 milligram/1 each conventional release oral capsule,317145007,partial_match
Structure of temporomandibular articulation vein,Structure of temporomandibular articulation vein,152612004,found
Closed comminuted fracture of proximal phalanx of finger,Closed comminuted fracture of proximal phalanx of finger,1255277009,found
Choroidal retinal neovascularization,Choroidal retinal neovascularization,75971007,found
Microunit/milliliter,Microunit/milliliter,258952008,found
Unable to use a non-speech system for communication,Unable to use a non-speech system for communication,288594008,found
Chronic infective pericarditis,Chronic infective pericarditis,233886008,found
Accidental poisoning caused by salicylates,Accidental poisoning caused by salicylates,216471009,found
Product containing only nicotinic acid,Product containing only nicotinic acid,768628008,partial_match
Dimethyl-ether propane,Dimethyl-ether propane,396030004,found
Nipple sharing technique,Nipple sharing technique,261209007,found
Accidental clorazepate poisoning,Accidental clorazepate poisoning,1145076003,found
Fetal disorder due to persistent occipito-posterior malposition during labor,Fetal disorder due to persistent occipito-posterior malposition during labor,1263632004,found
Carnitine acylcarnitine translocase deficiency,Carnitine acylcarnitine translocase deficiency,238003000,found
Revision of gastrojejunal anastomosis with reconstruction with partial gastrectomy,Revision of gastrojejunal anastomosis with reconstruction with partial gastrectomy,55718003,found
Abnormal radial pulse,Abnormal radial pulse,39435002,found
Accident due to heat in drying room,Accident due to heat in drying room,217596003,found
Disease caused by Trichinelloidea,Disease caused by Trichinelloidea,105700009,found
Cervical anterior longitudinal ligament sprain,Cervical anterior longitudinal ligament sprain,209559008,found
Entire costal groove of eighth rib,Entire costal groove of eighth rib,21696003,found
Myxopapillary ependymoma of brain,Myxopapillary ependymoma of brain,1197306009,found
Repositioning of cardioverter/defibrillator leads,Repositioning of cardioverter/defibrillator leads,46634008,found
Buttiauxella brennerae,Buttiauxella brennerae,416844002,found
Position of testicle,Position of testicle,249237009,found
Accidental lomustine poisoning,Accidental lomustine poisoning,290628005,found
Hemangioma of retina of bilateral eyes,Hemangioma of retina of bilateral eyes,15710001000119105,found
Mandelate racemase,Mandelate racemase,73858007,found
Structure of rhomboideus thoracis muscle,Structure of rhomboideus thoracis muscle,60160007,found
Unable to move from lying to sitting,Unable to move from lying to sitting,282931003,found
Contact lens inserter/remover,Contact lens inserter/remover,705256002,found
Cytosine deaminase,Cytosine deaminase,85784002,found
