timestamp,model,prompt_set,concept_term,B1_official_name,B2_kind,B3_category_type,B4_immediate_broader,B5_grandparents,B6_immediate_narrower,B7_peer_terms
2026-03-05T16:24:38.797536,mistralai/mistral-large-2512,set2,Acute myocardial infarction,,,,,,,
2026-03-05T16:24:43.719980,mistralai/mistral-large-2512,set2,Atrial fibrillation,,,,,,,
2026-03-05T16:24:47.409537,mistralai/mistral-large-2512,set2,"Hypertensive disorder, systemic arterial",,,,,,,
2026-03-05T16:24:51.539652,mistralai/mistral-large-2512,set2,Atherosclerosis,,,,,,,
2026-03-05T16:24:55.597637,mistralai/mistral-large-2512,set2,Embolus,,,,,,,
2026-03-05T16:24:58.874139,mistralai/mistral-large-2512,set2,Ventricular tachycardia,,,,,,,
2026-03-05T16:25:03.097602,mistralai/mistral-large-2512,set2,Apnea,,,,,,,
2026-03-05T16:25:05.939332,mistralai/mistral-large-2512,set2,Cyanosis,,,,,,,
2026-03-05T16:25:10.752146,mistralai/mistral-large-2512,set2,Bronchitis,,,,,,,
2026-03-05T16:25:15.169757,mistralai/mistral-large-2512,set2,Hyperglycemia,,,,,,,
2026-03-05T16:25:18.130181,mistralai/mistral-large-2512,set2,Blood in urine,,,,,,,
2026-03-05T16:25:22.116900,mistralai/mistral-large-2512,set2,Oliguria,,,,,,,
2026-03-05T16:25:25.952630,mistralai/mistral-large-2512,set2,Polyuria,,,,,,,
2026-03-05T16:25:29.899253,mistralai/mistral-large-2512,set2,Necrosis,,,,,,,
2026-03-05T16:25:32.766626,mistralai/mistral-large-2512,set2,Ischemia,,,,,,,
2026-03-05T16:25:38.030329,mistralai/mistral-large-2512,set2,Sepsis,,,,,,,
2026-03-05T16:25:42.085451,mistralai/mistral-large-2512,set2,Malignant,,,,,,,
2026-03-05T16:25:45.437732,mistralai/mistral-large-2512,set2,Benign,,,,,,,
2026-03-05T16:25:49.151339,mistralai/mistral-large-2512,set2,Abscess,,,,,,,
2026-03-05T16:25:53.553723,mistralai/mistral-large-2512,set2,Edema,,,,,,,
2026-03-05T16:25:56.630855,mistralai/mistral-large-2512,set2,Intubation,,,,,,,
2026-03-05T16:25:59.956266,mistralai/mistral-large-2512,set2,Biopsy,,,,,,,
2026-03-05T16:26:02.770898,mistralai/mistral-large-2512,set2,Venipuncture,,,,,,,
2026-03-05T16:26:05.944986,mistralai/mistral-large-2512,set2,Laparotomy,,,,,,,
2026-03-05T16:26:09.120697,mistralai/mistral-large-2512,set2,Opening of chest,,,,,,,
2026-03-05T16:26:12.276544,mistralai/mistral-large-2512,set2,Cholecystectomy,,,,,,,
2026-03-05T16:26:16.642365,mistralai/mistral-large-2512,set2,Cardiopulmonary resuscitation,,,,,,,
2026-03-05T16:26:21.101443,mistralai/mistral-large-2512,set2,Triage,,,,,,,
2026-03-05T16:26:23.850960,mistralai/mistral-large-2512,set2,Proximal,,,,,,,
