concept_term,prompt_set,relation,status,item
Asthma,set1,sons,intersection,allergic asthma
Asthma,set1,sons,intersection,occupational asthma
Asthma,set1,sons,intersection,severe asthma
Asthma,set1,sons,missed,acute asthma
Asthma,set1,sons,missed,asthma in mother complicating childbirth
Asthma,set1,sons,missed,asthma in pregnancy
Asthma,set1,sons,missed,asthma with irreversible airway obstruction
Asthma,set1,sons,missed,asthma without status asthmaticus
Asthma,set1,sons,missed,asthma-chronic obstructive pulmonary disease overlap syndrome
Asthma,set1,sons,missed,asthmatic bronchitis
Asthma,set1,sons,missed,asthmatic pulmonary eosinophilia
Asthma,set1,sons,missed,brittle asthma
Asthma,set1,sons,missed,chemical-induced asthma
Asthma,set1,sons,missed,childhood asthma
Asthma,set1,sons,missed,cough variant asthma
Asthma,set1,sons,missed,drug-induced asthma
Asthma,set1,sons,missed,exercise-induced asthma
Asthma,set1,sons,missed,intermittent asthma
Asthma,set1,sons,missed,intrinsic asthma
Asthma,set1,sons,missed,late onset asthma
Asthma,set1,sons,missed,mild asthma
Asthma,set1,sons,missed,mixed asthma
Asthma,set1,sons,missed,moderate asthma
Asthma,set1,sons,missed,occasional asthma
Asthma,set1,sons,missed,persistent asthma
Asthma,set1,sons,missed,seasonal asthma
Asthma,set1,sons,missed,steroid dependent asthma
Asthma,set1,sons,missed,uncomplicated asthma
Asthma,set1,sons,missed,uncontrolled asthma
Asthma,set1,sons,extra,adult-onset asthma
Asthma,set1,sons,extra,aspirin-exacerbated respiratory disease
Asthma,set1,sons,extra,childhood-onset asthma
Asthma,set1,sons,extra,cough-variant asthma
Asthma,set1,sons,extra,eosinophilic asthma
Asthma,set1,sons,extra,exercise-induced bronchoconstriction
Asthma,set1,sons,extra,non-allergic asthma
Asthma,set1,grandparents,missed,disorder of body system
Asthma,set1,grandparents,missed,respiratory finding
Asthma,set1,grandparents,extra,chronic disease
Asthma,set1,grandparents,extra,disease of respiratory system
Asthma,set1,grandparents,extra,disease of the immune system
Asthma,set1,grandparents,extra,hypersensitivity condition
